Fecha,Alimentacion Fresca SAG16,MA2:3WI116R,TPD SAG 16,Tasa Desgaste SAG16,Consumo acero SAG16,Reposicion SAG16,Variacion de nivel SAG16,Nivel bolas estimada SAG16,Alimentacion Fresca SAG17,MA2:3WI216R,TPD SAG 17,Tasa Desgaste SAG17,Consumo acero SAG17,Reposicion SAG17,Variacion de nivel SAG17,Nivel bolas estimada SAG17
2021-01-01,58374.25596390709,275.39916666666664,58649.65513057376,275,16128.655160907785,12000.0,-0.21729764004777816,12.577001968310356,41251.57318282624,224.7300343195597,41476.3032171458,328,13604.227455223823,12500.0,-0.058117234485464374,12.569446526107
2021-01-02,54078.596203191126,470.2080555555555,54548.804258746684,275,15000.92117115534,12000.0,-0.15794321953449156,12.42586439168522,40769.47183381164,400.6310362360212,41170.10287004767,328,13503.793741375634,12000.0,-0.07914703901977019,12.497215643923305
2021-01-03,60490.739627339615,114.55722222222222,60605.29684956184,275,16666.456633629507,12500.0,-0.21928719124365822,12.208235265500042,43359.58079752318,69.80133199691772,43429.3821295201,328,14244.837338482592,12000.0,-0.11814933360434693,12.38027130173448
2021-01-04,61519.38193015895,6.620833333333334,61526.00276349228,275,16919.650759960376,12500.0,-0.23261319789265134,11.975717895458269,7705.679151829615,134.71401159498427,7840.393163424599,328,2571.648957603268,0.0,-0.13534994513701412,12.247246945850264
2021-01-05,56714.39141728317,174.83972222222218,56889.23113950539,275,15644.538563363982,12500.0,-0.16550202965073588,11.812746440734433,22957.519734624755,0.7366245693630642,22958.256359194118,328,7530.308085815671,12500.0,0.261562732325491,12.508822394642005
2021-01-06,53440.16052964693,203.46972222222223,53643.63025186915,275,14751.998319264017,25000.0,0.5393685095124201,12.355059906752698,41682.42069129388,298.53225374857584,41980.95294504246,328,13769.752565973926,12500.0,-0.0668290824196803,11.7
2021-01-07,58941.35485910064,52.385277777777766,58993.74013687842,275,16223.278537641567,25000.0,0.46193270854518065,13.6,44201.99660476538,0.0,44201.99660476538,328,14498.254886363044,24000.0,0.5000918480861556,12.200091848086156
2021-01-08,54728.53005632717,82.74083333333334,54811.2708896605,275,15073.099494656639,25000.0,0.5224684476496506,14.123666012342632,46573.445828024654,28.58387434217665,46602.02970236683,328,15285.46574237632,24000.0,0.4586596977696673,12.659244993791834
2021-01-09,56533.006332916615,17.241666666666667,56550.247999583284,275,15551.318199885403,12500.0,-0.1605956947308107,13.963319868050418,48744.802451275886,148.60494726392955,48893.40739853981,328,16037.037626721058,12000.0,-0.2124756645642662,12.449334719896124
2021-01-10,55917.21207978722,188.60916666666668,56105.82124645389,275,15429.10084277482,12500.0,-0.15416320225130634,13.811886535316654,46072.66007539973,218.254242316352,46290.91431771609,328,15183.419896210877,12000.0,-0.16754841559004616,12.28555406175238
2021-01-11,53347.24702986352,473.17166666666674,53820.41869653019,275,14800.615141545803,12500.0,-0.12108500744977908,14.08,40122.72838493169,136.1246488571167,40258.85303378881,328,13204.90379508273,12000.0,-0.06341598921488051,12.224488013844086
2021-01-12,43781.124955007646,962.7375,44743.86245500765,275,12304.562175127105,12500.0,0.010286201309099754,14.104220559861732,45989.780896395285,105.55391843583848,46095.33481483112,328,15119.269819264608,12000.0,-0.16417209575076883,12.062138112053685
2021-01-13,59016.11096210501,13.901666666666667,59030.01262877168,275,16233.25347291221,0.0,-0.8543817617322216,13.250040006462845,40528.82538051667,0.0,40528.82538051667,328,13293.454724809468,0.0,-0.6996555118320773,11.362482600221606
2021-01-14,57337.18614488878,129.39333333333337,57466.57947822211,275,15803.309356511081,12000.0,-0.20017417665847795,13.05173862804998,33349.35292045022,61.06157442145877,33410.41449487168,328,10958.615954317911,12500.0,0.081125476088531,11.444662191910677
2021-01-15,47430.8905142495,444.36027777777775,47875.25079202728,275,13165.693967807501,12000.0,-0.06135231409513165,12.996817844291105,45884.09286378047,85.34136687384711,45969.43423065432,328,15077.974427654617,12500.0,-0.1356828646134009,11.31045258878857
2021-01-16,31032.73939245585,620.0455555555554,31652.784948011406,275,8704.515860703137,12000.0,0.1734465336472033,13.6,40476.33594433127,1026.8005025821262,41503.1364469134,328,13613.028754587594,12500.0,-0.058580460767768135,11.269597947223271
2021-01-17,0.0,0.0,0.0,275,0.0,0.0,0.0,13.6,53594.76720460238,961.5454912058512,54556.31269580823,328,17894.4705642251,12000.0,-0.3102352928539526,10.975961966006976
2021-01-18,0.0,0.0,0.0,275,0.0,0.0,0.0,13.6,59484.83211388,156.90613274468313,59641.738246624685,328,19562.490144892898,36000.0,0.8651320976372159,11.843802758988415
2021-01-19,0.0,0.0,0.0,275,0.0,0.0,0.0,13.6,61211.00147600733,76.09603455437555,61287.09751056171,328,20102.167983464242,24000.0,0.205149053501882,12.050265470349975
2021-01-20,0.0,0.0,0.0,275,0.0,0.0,0.0,13.6,58026.75446325303,138.34626558939615,58165.10072884243,328,19078.15303906032,12000.0,-0.37253437047685883,11.680119393300131
2021-01-21,0.0,0.0,0.0,275,0.0,0.0,0.0,13.6,40607.16659785956,29.27518556382921,40636.44178342339,328,13328.752904962872,12000.0,-0.06993436341909852,11.61069041203182
2021-01-22,36635.5925155488,1522.8049999999998,38158.3975155488,275,10493.55931677592,0.0,-0.5522925956197853,13.069748003064426,48695.69211583257,432.8215888787164,49128.51370471129,328,16114.152495145303,0.0,-0.8481132892181737,10.77004899024271
2021-01-23,52027.156017396745,3592.226666666667,55619.382684063414,275,15295.33023811744,0.0,-0.8050173809535495,12.316723376496842,33508.73587716132,92.61773186577692,33601.3536090271,328,11021.243983760889,0.0,-0.5800654728295205,10.19158239194224
2021-01-24,52971.25452908278,6191.201388888889,59162.45591797167,275,16269.675377442209,0.0,-0.8562987040759057,11.550034166207489,44460.675192430615,78.8656238132053,44539.54081624382,328,14608.969387727971,12000.0,-0.1373141783014722,10.055629683357123
2021-01-25,49938.49288058281,2356.9975000000004,52295.49038058281,275,14381.259854660273,0.0,-0.7569084134031723,10.827240190304314,36666.33989067882,499.440654089186,37165.78054476801,328,12190.376018683906,0.0,-0.6415987378254687,9.422652868402247
2021-01-26,60197.93847101927,1443.246666666667,61641.185137685934,275,16951.32591286363,36000.0,1.0025617940598088,11.850691080855352,45764.03509063035,3333.536133275562,49097.571223905914,328,16104.003361441139,24000.0,0.4155787704504664,9.89577899946926
2021-01-27,63120.878581944286,6105.573055555556,69226.45163749983,275,19037.274200312455,36000.0,0.8927750420888181,12.83183625927458,36045.13919248609,2352.5389409213594,38397.67813340745,328,12594.438427757643,24000.0,0.6002927143285451,10.536683964988448
2021-01-28,59646.15281355605,176.65277777777777,59822.80559133383,275,16451.271537616805,12000.0,-0.23427744934825293,12.600115626446794,38230.30565101025,160.53526770061916,38390.84091871086,328,12592.195821337164,12500.0,-0.004852411649324399,10.534602899013112
2021-01-29,64248.87824044292,159.925,64408.803240442925,275,17712.420891121805,24000.0,0.33092521625674715,12.93335554665091,47683.595143332495,1081.8449380026923,48765.44008133519,328,15995.064346677942,25000.0,0.4739439817537925,11.027222940749269
2021-01-30,62823.79522152335,106.34916666666666,62930.14438819002,275,17305.789706752257,12000.0,-0.2792520898290662,12.65564272107623,45649.68245010865,385.9507275221083,46035.63317763076,328,15099.68768226289,25000.0,0.5210690693545847,11.554954738452654
2021-01-31,66010.465030108,473.0519444444444,66483.51697455245,275,18282.967168001924,24000.0,0.300896464842004,12.9633859903773,47781.558409427584,592.3421471362644,48373.90055656385,328,15866.639382552943,25000.0,0.48070319039195036,12.045883624858323
2021-02-01,6217.665141169712,76.91305555555556,6294.578196725268,275,1731.0090040994487,0.0,-0.09110573705786573,12.9,54300.43862140247,797.5852562204997,55098.02387762297,328,18072.151831860334,25000.0,0.3646235877968245,12.424276052867798
2021-02-02,0.0,0.0,0.0,275,0.0,0.0,0.0,12.9,47804.04791981912,7.11745646264818,47811.165376281766,328,15682.062243420418,12500.0,-0.16747696018002198,12.2569219624625
2021-02-03,0.0,0.0,0.0,275,0.0,0.0,0.0,12.9,45016.26103094276,1134.743417362637,46151.0044483054,328,15137.529459044172,12500.0,-0.13881733994969325,12.137693877296751
2021-02-04,0.0,0.0,0.0,275,0.0,0.0,0.0,12.9,39669.58753196046,27.34821749581231,39696.93574945627,328,13020.594925821657,0.0,-0.6852944697800872,11.452871524113434
2021-02-05,45443.62812956597,2024.3072222222224,47467.9353517882,275,13053.682221741754,0.0,-0.6870359064074607,12.71,46159.0945931366,197.5861117299397,46356.68070486654,328,15204.991271196226,12500.0,-0.14236796164190663,11.313914522716129
2021-02-06,40920.08896960929,3340.7366666666667,44260.82563627596,275,12171.727049975889,12500.0,0.017277523685479537,13.3,55596.30671087265,91.96267806159123,55688.26938893424,328,18265.752359570433,12000.0,-0.3297764399773912,10.985725648970538
2021-02-07,49862.84557898341,206.23527777777767,50069.08085676119,275,13768.997235609326,12500.0,-0.06678932818996451,13.236195656093662,46139.77938371424,699.4853125593397,46839.264696273574,328,15363.27882037773,12500.0,-0.15069888528303846,10.84710208908326
2021-02-08,39115.19596332998,436.86027777777775,39552.056241107755,275,10876.815466304632,12500.0,0.08543076493133517,13.327949398729675,37262.7623082281,341.4298919974433,37604.192200225545,328,12334.17504167398,12500.0,0.008727629385580018,10.861723876604376
2021-02-09,36812.05344733268,2180.7536111111112,38992.80705844379,275,10723.021941072042,12500.0,0.09352516099620832,13.453038098834073,38630.41589661419,4928.20182519065,43558.61772180484,328,14287.226612751987,25000.0,0.5638301782762113,11.510630381125983
2021-02-10,41108.10799129102,3483.5658333333336,44591.673824624355,275,12262.710301771698,24000.0,0.617752089380437,14.121210220012754,35975.55155903506,5221.15518213484,41196.7067411699,328,13512.519811103728,25000.0,0.6046042204682248,12.205368227896326
2021-02-11,57538.123395422925,1196.975,58735.09839542292,275,16152.152058741303,12000.0,-0.21853431888112124,13.920000539289529,37647.5693509181,2681.9364204035865,40329.50577132169,328,13228.077892993513,25000.0,0.6195748477371835,12.871241767522582
2021-02-12,65591.08462380564,0.0,65591.08462380564,275,18037.54827154655,12000.0,-0.31776569850245007,13.602234840787078,17560.612655020563,771.4589415348901,18332.071596555452,328,6012.919483670188,0.0,-0.3164694465089573,12.568090138530648
2021-02-13,65591.08462380564,138.64555555555555,65729.7301793612,275,18075.67579932433,12500.0,-0.29345662101707,13.310784931758311,45215.15697517276,3724.454704108768,48939.61167928153,328,16052.192630804342,12500.0,-0.18695750688443907,12.445428481275034
2021-02-14,68434.86040449321,775.0372222222221,69209.89762671544,275,19032.721847346744,24000.0,0.26143569224490826,13.583438268009068,43942.54963762692,3263.356705932617,47205.90634355954,328,15483.537280687528,12500.0,-0.1570282779309225,12.344736045425474
2021-02-15,61760.28676563262,353.0477777777778,62113.3345434104,275,17081.16699943786,12500.0,-0.24111405260199267,13.34743411745386,41006.16182463148,4237.2729977994495,45243.434822430936,328,14839.846621757348,12500.0,-0.12314982219775515,12.294734936031835
2021-02-16,62537.04485242898,1091.862777777778,63628.90763020676,275,17497.94959830686,25000.0,0.3948447579838495,13.758082152484493,45739.82315602369,3804.1002177969617,49543.92337382065,328,16250.406866613173,12500.0,-0.19738983508490388,12.163015883654165
2021-02-17,56968.83754198109,303.4619444444445,57272.29948642554,275,15749.882358767023,25000.0,0.4868482969069988,14.249322661745293,45228.06167302471,795.4871777428522,46023.54885076756,328,15095.724023051762,12500.0,-0.13661705384482958,12.04013145056195
2021-02-18,52678.90978650034,347.8666666666667,53026.77645316701,275,14582.363524620929,12500.0,-0.10959808024320679,14.144759493782788,47463.72025975143,222.7738264295789,47686.49408618101,328,15641.170060267372,12500.0,-0.16532474001407219,11.878652490288346
2021-02-19,57325.75451796221,427.50416666666666,57753.258684628876,275,15882.146138272941,25000.0,0.4798870453540557,14.63083409944386,48449.88766621494,457.8863591469658,48907.774025361905,328,16041.749880318705,12500.0,-0.18640788843782655,11.70014916636632
2021-02-20,58268.0693248582,0.0,58268.0693248582,275,16023.719064336006,25000.0,0.47243583871915756,15.103269938163018,41799.70339471736,79.87969907972548,41879.58309379709,328,13736.503254765445,25000.0,0.5928156181702398,12.294343760394357
2021-02-21,60432.21302636834,493.2102777777778,60925.42330414612,275,16754.491408640184,12500.0,-0.22392060045474652,14.886487907518214,41004.30689965136,2200.565500657823,43204.872400309185,328,14171.198147301413,25000.0,0.5699369396157151,12.90226940970564
2021-02-22,47523.98006399265,53.85000000000001,47577.830063992646,275,13083.903267597978,12500.0,-0.030731750926209365,14.85653556448674,43476.35994908984,587.0430065366957,44063.40295562654,328,14452.796169445504,12500.0,-0.1027787457602897,12.809624880058193
2021-02-23,49505.80287919749,245.90416666666664,49751.707045864154,275,13681.71943761264,12500.0,-0.06219575987434951,14.797898943866777,50375.49898185491,190.5638993581136,50566.06288121302,328,16585.66862503787,12500.0,-0.21503519079146682,12.59787942395038
2021-02-24,35136.18615134864,37.61555555555556,35173.80170690419,275,9672.795469398652,12500.0,0.14880023845270252,14.947243617991994,39145.37690382629,837.9655326504177,39983.342436476705,328,13114.53631916436,0.0,-0.6902387536402295,11.922106601610643
2021-02-25,27052.730641996444,0.0666666666666666,27052.79730866311,275,7439.519259882355,12500.0,0.2663410915851392,15.213585674489414,43618.83974653656,180.78733623080785,43799.62708276737,328,14366.277683147699,12500.0,-0.09822514121829992,11.827002420723066
2021-02-26,48177.298590466446,23.076944444444443,48200.37553491089,275,13255.103272100496,12500.0,-0.039742277478973465,15.174177405416874,34959.3136770055,40.14286565144857,34999.456542656946,328,11479.821745991478,12500.0,0.05369359231623801,11.881389005667392
2021-02-27,48823.88963047976,0.0,48823.88963047976,275,13426.569648381934,12500.0,-0.048766823599049144,15.125410581817825,30418.982639856426,122.27238291422528,30541.255022770652,328,10017.531647468773,12500.0,0.13065622908059088,12.014156042200398
2021-02-28,42582.14647673383,130.03194444444443,42712.17842117828,275,11745.849065824026,12500.0,0.03969215443031441,15.166984777549308,20912.078429552083,457.86218086851966,21369.940610420603,328,7009.340520217958,12500.0,0.28898207788326535,12.311042267206023
2021-03-01,39657.55764440118,284.8558333333333,39942.41347773452,275,10984.163706376992,12500.0,0.07978085755910568,15.250888548485609,31870.98781669168,288.89380892859566,32159.881625620274,328,10548.44117320345,12500.0,0.10271362246297634,12.418743109107348
2021-03-02,52442.51145073939,295.2597222222222,52737.77117296161,275,14502.887072564443,12500.0,-0.10541510908233909,15.1497469353828,42988.72562608254,82.61874780866836,43071.3443738912,328,14127.400954636314,12500.0,-0.08565268182296389,12.33451668777287
2021-03-03,38905.9140793401,3.425,38909.339079340105,275,10700.06824681853,0.0,-0.5631614866746595,15.1497469353828,26932.671309133617,147.0287499194675,27079.700059053084,328,8882.141619369411,0.0,-0.467481137861548,11.869573730436247
2021-03-04,41489.80601510554,89.89138888888886,41579.697403994425,275,11434.416786098467,12500.0,0.056083327047449096,15.207131322006273,36731.4961174604,367.066782031589,37098.56289949199,328,12168.328631033371,12500.0,0.01745638784034887,11.89336685009272
2021-03-05,53346.83929893852,97.04861111111109,53443.88791004963,275,14697.069175263647,12500.0,-0.11563521975071825,15.092900753205845,42903.42113449484,251.1659866333008,43154.58712112814,328,14154.70457573003,12500.0,-0.08708971451210681,11.810613053665652
2021-03-06,52775.04635617147,126.30166666666666,52901.34802283814,275,14547.870706280488,12500.0,-0.10778266875160462,14.986946134892836,38915.46559297198,39.03402284410264,38954.49961581609,328,12777.075873987676,12500.0,-0.014582940736193498,11.796703963429083
2021-03-07,11630.608824370802,156.4108333333333,11787.019657704135,275,3241.4304058686375,12500.0,0.4872931365332296,15.476503112434838,43965.12457648516,465.87273022121855,44430.997306706384,328,14573.367116599695,12500.0,-0.10912458508419447,11.69562181284555
